Bergamasco,Italiano,Bergamasco_pulito,Italiano_pulito
'n acqua,nell'acqua,<sos> 'n acqua <eos>,<sos> nell'acqua <eos>
Śbranafèrro —,Sbranaferro —,<sos> śbranafèrro <eos>,<sos> sbranaferro <eos>
saró fórse a' 'n dol lèt quàndo ca te égnet a sénå,quando tornerai a casa sarò forse a letto,<sos> saró fórse a' 'n dol lèt quàndo ca te égnet a sénå <eos>,<sos> quando tornerai a casa sarò forse a letto <eos>
— hé hó fermàt dói vólte — 'l dìs —,"— sì, mi sono fermato due volte",<sos> hé hó fermàt dói vólte 'l dìs <eos>,"<sos> sì , mi sono fermato due volte <eos>"
la l'à töt sö,l'ha sollevato,<sos> la l'à töt sö <eos>,<sos> l'ha sollevato <eos>
"amò ö dé o dù, i paha fò",trascorsi ancora un giorno o due,"<sos> amò ö dé o dù , i paha fò <eos>",<sos> trascorsi ancora un giorno o due <eos>
ol prìm,il primo,<sos> ol prìm <eos>,<sos> il primo <eos>
e i cumìnciå: — onduè 'ndét? —,cominciano: — dove vai? —,<sos> e i cumìnciå onduè 'ndét ? <eos>,<sos> cominciano dove vai ? <eos>
e gliùrå l'à metìt ol so taulì e pò:,ha preparato il tavolino e poi:,<sos> e gliùrå l'à metìt ol so taulì e pò <eos>,<sos> ha preparato il tavolino e poi <eos>
fiàcå,fiacca,<sos> fiàcå <eos>,<sos> fiacca <eos>
te ghe diśet sö 'l ruśare al tò papà,recita il rosario a tuo padre,<sos> te ghe diśet sö 'l ruśare al tò papà <eos>,<sos> recita il rosario a tuo padre <eos>
de fà la spùśå,di far le nozze,<sos> de fà la spùśå <eos>,<sos> di far le nozze <eos>
e töc i hò cavaliéri,e tutti i suoi cavalieri,<sos> e töc i hò cavaliéri <eos>,<sos> e tutti i suoi cavalieri <eos>
tanto brutti che sèmbrano dùe di-àvoli »,tanto brutti che sembrano diavoli »,<sos> tanto brutti che sèmbrano dùe di-àvoli <eos>,<sos> tanto brutti che sembrano diavoli <eos>
quàndo i camina 'm pó,quando hanno camminato un po',<sos> quàndo i camina 'm pó <eos>,<sos> quando hanno camminato un po' <eos>
te fé 'l sègn dèla Santa Crùs —,fai il segno della Santa Croce —,<sos> te fé 'l sègn dèla santa crùs <eos>,<sos> fai il segno della santa croce <eos>
che i dervìs la pórtå,lei si è spaventata,<sos> che i dervìs la pórtå <eos>,<sos> lei si è spaventata <eos>
dòpo che,dopo che,<sos> dòpo che <eos>,<sos> dopo che <eos>
